riskId,activityId,simulatedDuration,totalSimulatedDuration,riskMitigationCost,contigencyCost
R1,"1,2",154.51639236384517,459.51639236384517,4189.95,315099.64
R1,"1,2",115.20145199396768,420.2014519939677,4189.95,315099.64
R1,"1,2",106.59791429751115,411.5979142975111,4189.95,315099.64
R1,"1,2",131.49361528733465,436.49361528733465,4189.95,315099.64
R1,"1,2",146.20294652729604,451.20294652729604,4189.95,315099.64
R1,"1,2",101.13097115617528,406.1309711561753,4189.95,315099.64
R1,"1,2",99.05126771763997,404.05126771764,4189.95,315099.64
R1,"1,2",143.7729143138335,448.7729143138335,4189.95,315099.64
R1,"1,2",156.79778035686826,461.79778035686826,4189.95,315099.64
R1,"1,2",121.09617211904123,426.0961721190412,4189.95,315099.64
R1,"1,2",139.45297491425487,444.45297491425487,4189.95,315099.64
R1,"1,2",128.02877857797952,433.02877857797955,4189.95,315099.64
R1,"1,2",138.46031727589002,443.46031727589,4189.95,315099.64
R1,"1,2",119.66043603561852,424.66043603561855,4189.95,315099.64
R1,"1,2",141.41463581873586,446.41463581873586,4189.95,315099.64
R1,"1,2",122.89495355965146,427.89495355965147,4189.95,315099.64
R1,"1,2",90.74043178866481,395.7404317886648,4189.95,315099.64
R1,"1,2",135.99188344841576,440.99188344841576,4189.95,315099.64
R1,"1,2",154.83282398013006,459.83282398013006,4189.95,315099.64
R1,"1,2",114.994847215975,419.994847215975,4189.95,315099.64
R1,"1,2",123.35075321919427,428.3507532191943,4189.95,315099.64
R1,"1,2",157.0719734275825,462.0719734275825,4189.95,315099.64
R1,"1,2",116.47525826017726,421.47525826017727,4189.95,315099.64
R1,"1,2",105.77652400746189,410.7765240074619,4189.95,315099.64
R1,"1,2",114.07638681198438,419.0763868119844,4189.95,315099.64
R1,"1,2",165.33803232363442,470.3380323236344,4189.95,315099.64
R1,"1,2",99.47640200812234,404.47640200812236,4189.95,315099.64
R1,"1,2",133.91668659877854,438.91668659877854,4189.95,315099.64
R1,"1,2",156.04484700236674,461.04484700236674,4189.95,315099.64
R1,"1,2",169.13899762349047,474.13899762349047,4189.95,315099.64
R1,"1,2",121.38654926868853,426.38654926868855,4189.95,315099.64
R1,"1,2",108.72360491037284,413.72360491037284,4189.95,315099.64
R1,"1,2",162.79857206599195,467.79857206599195,4189.95,315099.64
R1,"1,2",106.50209975520438,411.50209975520437,4189.95,315099.64
R1,"1,2",148.29156108088688,453.2915610808869,4189.95,315099.64
R1,"1,2",90.08013248283919,395.0801324828392,4189.95,315099.64
R1,"1,2",151.35963903696907,456.35963903696904,4189.95,315099.64
R1,"1,2",122.57768339499943,427.57768339499944,4189.95,315099.64
R1,"1,2",132.81407295713976,437.81407295713973,4189.95,315099.64
R1,"1,2",129.0396502828424,434.0396502828424,4189.95,315099.64
R1,"1,2",110.86033855110601,415.860338551106,4189.95,315099.64
R1,"1,2",158.00632855199305,463.0063285519931,4189.95,315099.64
R1,"1,2",154.41806642271655,459.41806642271655,4189.95,315099.64
R1,"1,2",146.94054992127565,451.94054992127565,4189.95,315099.64
R1,"1,2",142.02189995263168,447.02189995263166,4189.95,315099.64
R1,"1,2",118.92521059855596,423.92521059855596,4189.95,315099.64
R1,"1,2",137.79766131849215,442.79766131849215,4189.95,315099.64
R1,"1,2",126.27272575565422,431.2727257556542,4189.95,315099.64
R1,"1,2",106.850634653237,411.85063465323697,4189.95,315099.64
R1,"1,2",133.22439643366167,438.2243964336617,4189.95,315099.64
R1,"1,2",155.69986237494606,460.69986237494606,4189.95,315099.64
R1,"1,2",124.0485254269689,429.0485254269689,4189.95,315099.64
R1,"1,2",119.59913822689448,424.59913822689447,4189.95,315099.64
R1,"1,2",132.51768682340173,437.51768682340173,4189.95,315099.64
R1,"1,2",132.3090002805909,437.3090002805909,4189.95,315099.64
R1,"1,2",100.30347787594354,405.30347787594354,4189.95,315099.64
R1,"1,2",116.28064715688265,421.28064715688265,4189.95,315099.64
R1,"1,2",124.00516237739114,429.0051623773911,4189.95,315099.64
R1,"1,2",174.74105284416794,479.74105284416794,4189.95,315099.64
R1,"1,2",152.613594973562,457.613594973562,4189.95,315099.64
R1,"1,2",144.85500234421593,449.8550023442159,4189.95,315099.64
R1,"1,2",159.1405992982548,464.1405992982548,4189.95,315099.64
R1,"1,2",103.53753685874824,408.53753685874824,4189.95,315099.64
R1,"1,2",138.44431194069048,443.44431194069045,4189.95,315099.64
R1,"1,2",145.8456576623927,450.8456576623927,4189.95,315099.64
R1,"1,2",106.70423300868205,411.7042330086821,4189.95,315099.64
R1,"1,2",161.40917381073768,466.4091738107377,4189.95,315099.64
R1,"1,2",115.61412374399094,420.61412374399094,4189.95,315099.64
R1,"1,2",109.47697633946083,414.47697633946086,4189.95,315099.64
R1,"1,2",106.0140153445878,411.0140153445878,4189.95,315099.64
R1,"1,2",145.26543729516249,450.2654372951625,4189.95,315099.64
R1,"1,2",174.98300650006954,479.98300650006956,4189.95,315099.64
R1,"1,2",182.6796683231512,487.6796683231512,4189.95,315099.64
R1,"1,2",126.8451513220536,431.8451513220536,4189.95,315099.64
R1,"1,2",170.32720701768835,475.32720701768835,4189.95,315099.64
R1,"1,2",178.62125009738014,483.62125009738014,4189.95,315099.64
R1,"1,2",94.21530642331602,399.215306423316,4189.95,315099.64
R1,"1,2",149.59629203687626,454.59629203687626,4189.95,315099.64
R1,"1,2",138.74927890534732,443.7492789053473,4189.95,315099.64
R1,"1,2",143.37491944242612,448.3749194424261,4189.95,315099.64
R1,"1,2",164.9405412454526,469.9405412454526,4189.95,315099.64
R1,"1,2",146.5392987224871,451.5392987224871,4189.95,315099.64
R1,"1,2",117.18416294057555,422.18416294057556,4189.95,315099.64
R1,"1,2",135.07836110958496,440.078361109585,4189.95,315099.64
R1,"1,2",172.2824509434986,477.2824509434986,4189.95,315099.64
R1,"1,2",122.63217506806123,427.6321750680612,4189.95,315099.64
R1,"1,2",104.69832842799022,409.6983284279902,4189.95,315099.64
R1,"1,2",124.95764437513753,429.95764437513753,4189.95,315099.64
R1,"1,2",128.7751002862957,433.7751002862957,4189.95,315099.64
R1,"1,2",97.67874601526779,402.6787460152678,4189.95,315099.64
R1,"1,2",99.87821700483451,404.8782170048345,4189.95,315099.64
R1,"1,2",167.3017895953261,472.3017895953261,4189.95,315099.64
R1,"1,2",153.76567220519968,458.7656722051997,4189.95,315099.64
R1,"1,2",94.685040274878,399.685040274878,4189.95,315099.64
R1,"1,2",143.23576443718218,448.2357644371822,4189.95,315099.64
R1,"1,2",148.51741724572355,453.51741724572355,4189.95,315099.64
R1,"1,2",158.696696700212,463.696696700212,4189.95,315099.64
R1,"1,2",146.51428645805277,451.51428645805277,4189.95,315099.64
R1,"1,2",111.252752808796,416.252752808796,4189.95,315099.64
R1,"1,2",134.89452221767328,439.8945222176733,4189.95,315099.64
R1,"1,2",119.77334176549715,424.77334176549715,4189.95,315099.64
R1,"1,2",102.0785480332726,407.07854803327257,4189.95,315099.64
R1,"1,2",134.9908752693977,439.9908752693977,4189.95,315099.64
R1,"1,2",118.8605077188428,423.86050771884277,4189.95,315099.64
